Vénissieux,45.6969,4.8858,France,FR,Auvergne-Rhône-Alpes,,66363,66363
Clichy,48.9044,2.3064,France,FR,Île-de-France,,64849,64849
Valence,44.9333,4.8917,France,FR,Auvergne-Rhône-Alpes,minor,64483,64483
Ivry-sur-Seine,48.8078,2.3747,France,FR,Île-de-France,,64001,64001
Antony,48.7539,2.2975,France,FR,Île-de-France,minor,63232,63232
Troyes,48.2997,4.0792,France,FR,Grand Est,minor,62782,62782
La Seyne-sur-Mer,43.1000,5.8830,France,FR,Provence-Alpes-Côte d’Azur,,62763,62763
Pantin,48.8966,2.4017,France,FR,Île-de-France,,60800,60800
Chambéry,45.5700,5.9118,France,FR,Auvergne-Rhône-Alpes,minor,59856,59856
Neuilly-sur-Seine,48.8881,2.2686,France,FR,Île-de-France,,59267,59267
Sarcelles,48.9956,2.3808,France,FR,Île-de-France,minor,58424,58424
Le Blanc-Mesnil,48.9387,2.4614,France,FR,Île-de-France,,58257,58257
Maisons-Alfort,48.8058,2.4378,France,FR,Île-de-France,,58068,58068
Lorient,47.7500,-3.3600,France,FR,Bretagne,minor,57846,57846
Villejuif,48.7919,2.3636,France,FR,Île-de-France,,57753,57753
Bellevue,48.8710,2.3850,France,FR,Île-de-France,,57699,57699
Beauvais,49.4303,2.0952,France,FR,Hauts-de-France,minor,56677,56677
Meaux,48.9603,2.8883,France,FR,Île-de-France,minor,55616,55616
Bobigny,48.9106,2.4397,France,FR,Île-de-France,minor,55056,55056
Clamart,48.8014,2.2628,France,FR,Île-de-France,,54491,54491
Vannes,47.6559,-2.7603,France,FR,Bretagne,minor,54420,54420
Chelles,48.8833,2.6000,France,FR,Île-de-France,,54309,54309
Évry,48.6238,2.4296,France,FR,Île-de-France,minor,53641,53641
Épinay-sur-Seine,48.9553,2.3092,France,FR,Île-de-France,,53489,53489
Saint-Ouen,48.9123,2.3342,France,FR,Île-de-France,,53207,53207
Saint-Quentin,49.8486,3.2864,France,FR,Hauts-de-France,minor,52958,52958
Bondy,48.9022,2.4828,France,FR,Île-de-France,,52905,52905
Bayonne,43.4900,-1.4800,France,FR,Nouvelle-Aquitaine,minor,52749,52749
Corbeil-Essonnes,48.6139,2.4820,France,FR,Île-de-France,,52683,52683
Cagnes-sur-Mer,43.6644,7.1489,France,FR,Provence-Alpes-Côte d’Azur,,52580,52580
Vaulx-en-Velin,45.7768,4.9186,France,FR,Auvergne-Rhône-Alpes,,52139,52139
Sevran,48.9333,2.5333,France,FR,Île-de-France,,51845,51845
Fontenay-sous-Bois,48.8517,2.4772,France,FR,Île-de-France,,51812,51812
Sartrouville,48.9372,2.1644,France,FR,Île-de-France,,51220,51220
Massy,48.7309,2.2713,France,FR,Île-de-France,,50962,50962
